회원번호,조합원상태,성별,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,연령대_30_50대,방문횟수,연령
192509888,1,0,0,0,0,30대,20676.0,기타,기타,0,1,1,37.0
192522880,1,0,0,0,0,60대이상,105053.0,서울 송파구,기타,1,0,9,61.0
192589696,1,0,0,0,0,60대이상,253277.0,광주,기타,1,0,3,72.0
192771584,1,0,0,0,0,50대,55901.0,기흥구,언남동,0,1,1,50.0
192845824,1,0,0,0,0,40대,94764.0,중원구,금광동,0,1,4,40.0
192864384,1,0,1,0,0,40대,682724.0,수지구,상현동,0,1,18,48.0
192890368,1,0,0,0,0,50대,353591.0,수지구,신봉동,0,1,27,59.0
192897792,1,0,0,0,0,50대,58103.0,수지구,풍덕천동,0,1,6,54.0
192994304,1,0,0,0,0,40대,463864.0,수지구,동천동,0,1,16,43.0
193003584,1,0,0,0,1,60대이상,6338913.0,수지구,성복동,1,0,112,64.0
193109376,1,0,0,0,0,60대이상,21824.0,분당구,금곡동,1,0,2,80.0
193204032,1,0,0,0,0,50대,1734759.0,수지구,동천동,0,1,31,53.0
193324672,1,0,0,0,0,60대이상,21824.0,수지구,신봉동,1,0,3,82.0
193567808,1,0,0,0,0,60대이상,11295.0,분당구,궁내동,1,0,1,67.0
19391488,1,0,0,0,0,60대이상,3159.0,중원구,상대원동,1,0,1,60.0
194087488,1,0,0,0,0,40대,19718.0,수원 영통구,기타,0,1,1,48.0
194408576,1,0,0,0,0,40대,102229.0,기타,기타,0,1,9,47.0
194560768,1,0,0,0,0,60대이상,142650.0,서울 송파구,기타,1,0,7,64.0
194679552,1,0,0,0,0,50대,96870.0,수지구,동천동,0,1,8,51.0
194911552,1,0,0,0,0,40대,15602.0,분당구,수내동,0,1,2,47.0
194980224,1,0,0,0,0,60대이상,46424.0,분당구,삼평동,1,0,2,62.0
195084160,1,0,0,0,0,40대,34842.0,기타,기타,0,1,2,46.0
195210368,1,0,0,0,0,50대,69590.0,수지구,동천동,0,1,5,50.0
195227072,1,0,0,0,0,60대이상,48051.0,광주,오포읍,1,0,3,65.0
195262336,1,0,0,0,0,40대,69109.0,수지구,풍덕천동,0,1,6,45.0
195611264,1,0,0,0,0,40대,18187.0,기타,기타,0,1,1,48.0
196010304,1,0,0,0,0,50대,187135.0,기타,기타,0,1,7,51.0
19627200,1,0,0,1,0,50대,1817567.0,수지구,풍덕천동,0,1,60,53.0
196388928,1,0,1,0,0,40대,617579.0,수지구,풍덕천동,0,1,29,43.0
196431616,1,0,1,0,0,50대,757734.0,수지구,풍덕천동,0,1,29,57.0
196646912,1,0,0,0,0,60대이상,28046.0,수지구,신봉동,1,0,3,73.0
196691456,1,0,0,0,0,60대이상,6892.0,수지구,성복동,1,0,1,76.0
196823232,1,0,0,0,0,40대,36470.0,수원 팔달구,기타,0,1,1,47.0
196890048,1,0,0,0,0,60대이상,30726.0,수지구,성복동,1,0,4,78.0
196930880,1,0,0,0,0,40대,98688.0,기흥구,보정동,0,1,3,42.0
197057088,1,0,0,0,0,60대이상,170382.0,수지구,풍덕천동,1,0,4,61.0
197144320,1,0,0,1,0,40대,1388258.0,수지구,풍덕천동,0,1,68,48.0
19727424,1,0,0,0,0,50대,116110.0,수지구,성복동,0,1,6,58.0
197896000,1,0,0,0,0,50대,225805.0,기타,기타,0,1,18,55.0
197936832,1,0,0,0,0,60대이상,22590.0,기타,기타,1,0,2,71.0
198087168,1,0,0,0,0,40대,140326.0,수지구,상현동,0,1,8,46.0
198224512,1,0,0,0,0,40대,150816.0,처인구,모현면,0,1,6,43.0
198335872,1,0,0,0,0,40대,148846.0,기타,기타,0,1,9,41.0
198617984,1,0,0,0,0,40대,18187.0,분당구,분당동,0,1,1,43.0
198714496,1,0,0,0,0,60대이상,8040.0,기흥구,신갈동,1,0,1,72.0
198913088,1,0,0,1,0,40대,25175.0,기타,기타,0,1,3,47.0
198952064,1,0,0,0,0,60대이상,7083.0,기흥구,신갈동,1,0,1,64.0
199364096,1,0,0,0,0,60대이상,113811.0,수지구,풍덕천동,1,0,4,66.0
199520000,1,1,0,0,0,60대이상,132285.0,수지구,성복동,1,0,11,76.0
199848512,1,0,0,1,0,40대,10721.0,서울 강남구,기타,0,1,1,49.0
199870784,1,0,0,0,0,40대,110652.0,기타,기타,0,1,6,49.0
199919040,1,1,0,0,0,60대이상,18379.0,수지구,풍덕천동,1,0,2,85.0
199933888,1,0,0,0,0,60대이상,78300.0,수지구,성복동,1,0,2,79.0
19996544,1,0,1,0,0,50대,1286488.0,수지구,성복동,0,1,29,53.0
200123200,1,0,0,0,0,60대이상,13210.0,기타,기타,1,0,2,62.0
200193728,1,0,0,0,0,40대,30438.0,수지구,상현동,0,1,2,42.0
200204864,1,0,0,0,0,50대,869340.0,수지구,풍덕천동,0,1,44,50.0
200234560,1,0,0,1,0,40대,672627.0,수지구,풍덕천동,0,1,46,45.0
200340352,1,0,0,0,0,60대이상,47573.0,수지구,신봉동,1,0,8,75.0
200349632,1,0,0,0,0,40대,11104.0,기흥구,보정동,0,1,1,46.0
200548224,1,0,0,1,0,40대,1240155.0,수지구,풍덕천동,0,1,61,47.0
200564928,1,0,0,0,0,60대이상,160199.0,수지구,상현동,1,0,6,63.0
200631744,1,0,0,0,0,40대,348231.0,기타,기타,0,1,23,44.0
200743104,1,0,0,0,0,50대,131040.0,수지구,성복동,0,1,7,53.0
200761664,1,0,0,0,0,40대,28716.0,수지구,동천동,0,1,1,46.0
200774656,1,0,0,0,0,60대이상,92657.0,수지구,죽전동,1,0,9,73.0
200839616,1,0,0,0,0,40대,482171.0,수지구,풍덕천동,0,1,27,47.0
200906432,1,0,0,0,0,60대이상,69110.0,수지구,성복동,1,0,3,61.0
201383424,1,0,0,0,0,40대,2489.0,수원 영통구,기타,0,1,1,47.0
201570880,1,0,0,0,0,40대,19527.0,수지구,상현동,0,1,2,48.0
201674816,0,0,0,0,0,50대,40585.0,수지구,동천동,0,1,2,53.0
201698944,1,0,0,0,0,40대,59730.0,수원 영통구,기타,0,1,1,40.0
201953216,1,0,0,0,0,40대,238900.0,수지구,풍덕천동,0,1,13,44.0
202107264,1,0,1,0,0,40대,283717.0,수지구,신봉동,0,1,9,47.0
202135104,1,0,0,0,0,40대,1159544.0,수지구,풍덕천동,0,1,52,43.0
20235968,1,0,0,0,0,60대이상,164449.0,수지구,동천동,1,0,9,61.0
202536000,1,0,1,0,0,40대,672226.0,수지구,풍덕천동,0,1,17,49.0
20258240,1,0,0,0,0,50대,3063.0,분당구,삼평동,0,1,1,51.0
202792128,1,0,0,0,0,40대,1128153.0,수지구,풍덕천동,0,1,45,41.0
202892352,1,0,0,0,0,60대이상,67961.0,수지구,성복동,1,0,2,67.0
202981440,1,0,0,0,0,40대,24887.0,수지구,풍덕천동,0,1,2,45.0
203133632,1,0,0,0,0,40대,24313.0,수지구,신봉동,0,1,1,44.0
203291392,1,0,0,0,0,60대이상,90073.0,수지구,상현동,1,0,5,67.0
203426880,1,0,0,0,0,40대,74470.0,수지구,풍덕천동,0,1,3,48.0
203590208,1,0,0,1,0,50대,1944144.0,수지구,동천동,0,1,68,50.0
204022656,1,0,0,0,0,60대이상,164256.0,수지구,신봉동,1,0,6,69.0
204041216,1,0,0,0,0,50대,488557.0,기타,기타,0,1,15,50.0
204044928,1,0,0,0,0,60대이상,107974.0,기흥구,보정동,1,0,3,60.0
204102464,1,0,0,0,0,40대,64516.0,수지구,풍덕천동,0,1,4,49.0
204323328,1,0,0,0,0,50대,450753.0,수지구,동천동,0,1,10,52.0
204416128,1,0,0,0,0,60대이상,22015.0,수지구,성복동,1,0,3,65.0
204429120,1,1,0,0,0,50대,200344.0,수지구,풍덕천동,0,1,8,52.0
204638848,1,0,0,0,0,50대,3063.0,분당구,정자동,0,1,2,50.0
204718656,1,0,0,0,0,60대이상,45946.0,분당구,백현동,1,0,1,68.0
204887552,1,0,0,0,0,50대,1540232.0,수지구,풍덕천동,0,1,48,52.0
205117696,1,0,0,0,0,50대,170189.0,수지구,성복동,0,1,13,59.0
205188224,1,0,0,0,0,50대,90935.0,수지구,풍덕천동,0,1,1,55.0
205193792,1,0,0,0,0,50대,28716.0,수지구,성복동,0,1,2,54.0
205271744,1,1,0,0,0,50대,1368615.0,수지구,동천동,0,1,41,50.0
205329280,1,0,0,0,0,50대,26705.0,수원 영통구,기타,0,1,3,54.0
205334848,1,0,0,0,0,50대,156790.0,수지구,동천동,0,1,9,53.0
205364544,1,0,0,0,0,50대,58390.0,수지구,죽전동,0,1,2,55.0
205435072,1,0,0,0,0,40대,176222.0,분당구,기타,0,1,5,45.0
205459200,1,0,0,0,0,60대이상,33693.0,수지구,신봉동,1,0,1,79.0
205709760,1,0,0,0,0,60대이상,38288.0,서울 송파구,기타,1,0,1,73.0
20588608,1,0,0,1,1,50대,2774143.0,수지구,풍덕천동,0,1,110,51.0
205938048,1,0,0,0,0,50대,250788.0,기흥구,언남동,0,1,16,52.0
206190464,0,0,1,0,0,60대이상,414658.0,수지구,풍덕천동,1,0,19,66.0
20636864,1,0,0,0,0,60대이상,380759.0,수지구,상현동,1,0,33,66.0
206370496,1,0,0,0,0,30대,409366.0,수지구,풍덕천동,0,1,29,36.0
206439168,1,0,0,0,0,60대이상,66621.0,기흥구,마북동,1,0,2,76.0
206596928,1,0,0,0,0,40대,126158.0,기흥구,보정동,0,1,14,49.0
206663744,1,0,1,0,0,50대,864109.0,수지구,신봉동,0,1,32,58.0
206715712,1,0,0,1,0,40대,1403473.0,수지구,풍덕천동,0,1,71,44.0
206719424,1,0,0,0,0,60대이상,81075.0,수지구,신봉동,1,0,6,61.0
207007104,1,0,0,0,0,60대이상,74184.0,수지구,성복동,1,0,4,77.0
207107328,1,0,0,0,0,50대,487368.0,수지구,풍덕천동,0,1,32,55.0
207408000,1,0,0,0,0,50대,120608.0,수지구,상현동,0,1,9,52.0
207450688,1,0,0,0,0,50대,9572.0,기흥구,신갈동,0,1,1,54.0
207489664,1,0,0,0,0,50대,230471.0,수지구,풍덕천동,0,1,10,52.0
207491520,1,1,0,0,0,50대,141284.0,수지구,풍덕천동,0,1,14,58.0
207560192,1,0,0,0,0,60대이상,61453.0,수지구,성복동,1,0,2,64.0
207736512,1,0,0,0,0,40대,22973.0,화성,기타,0,1,1,48.0
207897984,1,0,0,0,0,40대,70833.0,분당구,수내동,0,1,4,48.0
207916544,1,0,0,0,0,50대,21135.0,기흥구,보정동,0,1,1,56.0
207946240,1,0,0,1,0,60대이상,25366.0,기타,기타,1,0,1,60.0
207964800,1,1,0,0,0,50대,76288.0,수지구,풍덕천동,0,1,6,54.0
208176384,1,0,1,0,0,60대이상,392552.0,수지구,상현동,1,0,29,73.0
208276608,1,0,0,0,0,40대,34460.0,기흥구,중동,0,1,4,45.0
208321152,1,0,0,0,0,60대이상,62793.0,기타,기타,1,0,2,78.0
208571712,1,0,0,0,0,50대,74183.0,수지구,풍덕천동,0,1,5,57.0
208751744,1,0,0,0,0,40대,45371.0,화성,기타,0,1,6,42.0
209419904,1,0,0,0,0,50대,90839.0,기타,기타,0,1,4,58.0
209460736,1,0,0,0,0,50대,17996.0,수지구,풍덕천동,0,1,4,52.0
209497856,1,0,0,0,0,50대,26802.0,수지구,풍덕천동,0,1,1,55.0
209564672,1,0,0,0,0,50대,12635.0,기흥구,신갈동,0,1,1,52.0
209906176,1,0,0,0,0,60대이상,62653.0,기타,기타,1,0,5,63.0
210262528,1,0,1,0,0,60대이상,528857.0,수지구,동천동,1,0,13,65.0
210307072,1,0,1,0,0,60대이상,885052.0,수지구,상현동,1,0,28,71.0
210639296,1,0,0,0,0,40대,10146.0,기타,기타,0,1,1,45.0
210811904,1,0,1,0,0,40대,404424.0,수지구,풍덕천동,0,1,29,49.0
210969664,1,0,1,0,0,50대,648410.0,수지구,신봉동,0,1,29,54.0
211030912,1,0,0,0,0,40대,16272.0,서울 강남구,기타,0,1,1,44.0
211049472,1,0,0,0,0,40대,53412.0,기타,기타,0,1,7,49.0
211140416,1,0,0,0,0,50대,244470.0,수지구,풍덕천동,0,1,24,51.0
211274048,1,0,0,0,0,50대,301235.0,수지구,상현동,0,1,12,53.0
211287040,1,0,0,0,0,40대,87297.0,수지구,신봉동,0,1,2,47.0
211314880,1,0,0,0,0,50대,52935.0,수지구,풍덕천동,0,1,4,52.0
21134272,1,0,0,0,0,40대,76481.0,수지구,풍덕천동,0,1,5,49.0
212079552,1,0,0,0,0,40대,227613.0,수원 영통구,기타,0,1,20,49.0
212872064,1,0,1,0,0,60대이상,404707.0,수지구,풍덕천동,1,0,25,70.0
212875776,1,0,0,1,0,50대,12636.0,기흥구,언남동,0,1,1,55.0
213291520,1,0,0,0,0,50대,141283.0,수지구,풍덕천동,0,1,15,55.0
213482688,1,0,0,1,0,40대,2158046.0,수지구,풍덕천동,0,1,58,47.0
213486400,1,0,0,0,0,40대,143389.0,기흥구,영덕동,0,1,3,48.0
213603328,1,0,1,0,0,50대,542944.0,수원 영통구,기타,0,1,16,50.0
213731392,1,0,0,0,0,40대,62410.0,수지구,상현동,0,1,1,48.0
213744384,1,0,0,0,0,40대,89405.0,수지구,풍덕천동,0,1,6,41.0
213872448,1,0,0,0,0,40대,108930.0,수지구,풍덕천동,0,1,10,46.0
214052480,1,1,0,0,0,50대,699868.0,수원 영통구,기타,0,1,38,52.0
214095168,1,0,0,0,0,40대,268018.0,기흥구,언남동,0,1,10,49.0
214507200,1,0,0,0,0,60대이상,246481.0,기타,기타,1,0,21,63.0
21457216,1,0,0,1,0,50대,11295.0,기타,기타,0,1,1,56.0
214638976,1,0,0,0,0,40대,268019.0,기타,기타,0,1,1,41.0
214657536,1,0,0,0,0,50대,230113.0,수지구,신봉동,0,1,17,56.0
214664960,1,0,0,0,0,40대,17230.0,수지구,풍덕천동,0,1,1,46.0
214739200,1,1,0,0,0,60대이상,14550.0,기타,기타,1,0,1,71.0
214809728,1,0,0,0,0,40대,32622.0,수지구,상현동,0,1,1,44.0
214839424,1,0,0,0,0,50대,9381.0,수지구,신봉동,0,1,1,55.0
215296000,1,0,0,1,0,40대,15315.0,기타,기타,0,1,1,48.0
215362816,1,0,0,1,0,30대,3446.0,기흥구,영덕동,0,1,1,36.0
215438912,1,0,0,0,0,50대,95529.0,수지구,풍덕천동,0,1,8,50.0
215583680,1,0,0,0,0,50대,55422.0,기흥구,신갈동,0,1,4,52.0
215719168,1,0,0,0,0,60대이상,91127.0,수지구,신봉동,1,0,6,75.0
215810112,1,0,0,0,0,60대이상,82224.0,기타,기타,1,0,2,68.0
215841664,1,0,0,0,0,40대,71025.0,수지구,상현동,0,1,3,47.0
216476416,1,0,1,0,0,60대이상,467023.0,수지구,상현동,1,0,21,61.0
216829056,1,0,0,1,0,50대,727504.0,수지구,상현동,0,1,45,50.0
217035072,1,0,0,0,0,50대,10338.0,기흥구,언남동,0,1,1,55.0
217077760,1,0,0,0,0,40대,115824.0,수원 영통구,기타,0,1,13,48.0
217189120,1,0,0,0,0,40대,13305.0,수지구,동천동,0,1,2,44.0
217307904,1,1,0,0,0,60대이상,130371.0,기타,기타,1,0,2,68.0
218091136,1,0,0,0,0,50대,458502.0,수지구,상현동,0,1,7,50.0
218291584,1,0,0,0,0,50대,22016.0,수지구,죽전동,0,1,1,51.0
218382528,1,0,0,0,0,40대,242366.0,수지구,풍덕천동,0,1,12,46.0
218423360,1,0,0,0,0,50대,73322.0,분당구,금곡동,0,1,2,52.0
218475328,1,0,0,0,0,40대,279599.0,수지구,풍덕천동,0,1,20,49.0
218480896,1,0,0,0,0,40대,32163.0,중원구,은행동,0,1,2,42.0
218484608,1,0,0,1,0,40대,951919.0,수지구,풍덕천동,0,1,66,48.0
218837248,1,0,0,0,0,40대,40969.0,기흥구,마북동,0,1,2,49.0
219104512,1,0,0,0,0,60대이상,150952.0,분당구,이매동,1,0,10,64.0
219137920,1,0,0,0,0,50대,29865.0,수지구,풍덕천동,0,1,5,50.0
219267840,1,0,0,0,0,50대,41542.0,수원 영통구,기타,0,1,1,59.0
219291968,1,0,0,0,0,40대,63176.0,분당구,분당동,0,1,4,42.0
219293824,1,0,0,0,0,40대,165980.0,수지구,동천동,0,1,7,47.0
219496128,1,0,0,0,0,50대,22398.0,수지구,동천동,0,1,2,55.0
21982464,1,0,0,0,0,50대,201107.0,수지구,성복동,0,1,26,50.0
220672832,1,0,0,0,0,60대이상,11296.0,서울 송파구,기타,1,0,3,61.0
220724800,1,0,0,0,0,60대이상,161385.0,기타,기타,1,0,7,65.0
220748928,1,0,1,0,0,40대,614909.0,수지구,성복동,0,1,21,49.0
220954944,1,1,0,1,0,50대,3140880.0,수지구,동천동,0,1,85,51.0
221081152,1,0,0,0,0,60대이상,83182.0,수지구,성복동,1,0,4,69.0
221101568,1,0,0,0,0,50대,176698.0,기타,기타,0,1,8,53.0
22112384,1,0,0,0,0,60대이상,41926.0,수지구,성복동,1,0,1,60.0
221441216,1,0,0,0,0,30대,2489.0,기타,기타,0,1,1,39.0
221689920,1,0,0,0,0,60대이상,35991.0,수지구,신봉동,1,0,4,62.0
221747456,1,0,0,0,0,40대,124247.0,수지구,풍덕천동,0,1,10,46.0
221808704,1,0,0,0,0,50대,52263.0,수지구,풍덕천동,0,1,10,57.0
221849536,1,0,0,0,0,60대이상,174594.0,분당구,야탑동,1,0,2,70.0
221858816,1,0,0,0,0,50대,66142.0,수지구,풍덕천동,0,1,4,51.0
221927488,1,0,0,0,0,60대이상,29674.0,분당구,이매동,1,0,3,60.0
221970176,1,0,0,0,0,40대,40202.0,수지구,풍덕천동,0,1,4,47.0
222051840,1,0,0,0,0,60대이상,85862.0,수지구,성복동,1,0,6,83.0
222326528,1,0,0,0,0,40대,38479.0,수지구,풍덕천동,0,1,2,45.0
222395200,1,1,0,0,0,50대,24791.0,수지구,풍덕천동,0,1,3,56.0
222434176,1,0,0,0,0,40대,653147.0,수지구,풍덕천동,0,1,37,40.0
222473152,1,0,0,0,0,50대,58581.0,수지구,풍덕천동,0,1,2,53.0
222495424,1,0,0,0,0,40대,26802.0,분당구,분당동,0,1,1,48.0
22259008,1,0,0,0,0,50대,197375.0,수지구,동천동,0,1,8,54.0
22270144,1,0,0,1,1,50대,2104267.0,기타,기타,0,1,123,52.0
222720000,1,0,0,0,0,60대이상,25844.0,수지구,풍덕천동,1,0,3,88.0
222734848,1,0,0,0,0,50대,149994.0,수지구,성복동,0,1,6,59.0
223189568,1,0,1,0,0,60대이상,1469501.0,수지구,풍덕천동,1,0,32,63.0
223390016,1,0,0,0,0,50대,1658247.0,수지구,상현동,0,1,48,56.0
223458688,1,0,0,0,0,40대,8806.0,기타,기타,0,1,1,48.0
