회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대,구매매장
1012615040,1,0,72.0,0,0,0,70대이상,11391.0,수지구,동천동,1,3,0,매장A
1012713408,1,0,55.0,0,0,0,50대,2393.0,분당구,중동,0,1,1,매장A
1012778368,1,0,42.0,0,0,0,40대,6126.0,수지구,풍덕천동,0,1,1,매장B
1012837760,1,0,46.0,0,0,0,40대,7849.0,수지구,동천동,0,1,1,매장D
1012941696,1,0,51.0,0,0,0,50대,375168.0,수지구,풍덕천동,0,6,1,매장D
101300480,1,0,52.0,1,0,0,50대,472093.0,수지구,상현동,0,15,1,매장C
1013004800,1,0,48.0,0,0,0,40대,26323.0,수지구,동천동,0,1,1,매장A
1013056768,1,0,41.0,0,0,0,40대,275580.0,수지구,풍덕천동,0,17,1,매장C
1013108736,1,0,51.0,0,0,0,50대,90935.0,수지구,동천동,0,2,1,매장A
1013136576,1,0,47.0,0,0,0,40대,197485.0,수지구,동천동,0,16,1,매장C
1013156992,1,0,45.0,0,0,0,40대,20293.0,수지구,동천동,0,2,1,매장A
1013168128,1,0,51.0,0,0,0,50대,182444.0,분당구,구미동,0,11,1,매장B
101319040,1,0,67.0,0,0,0,60대,522251.0,수지구,성복동,1,29,1,매장C
1013446528,1,0,40.0,0,0,0,40대,357612.0,수지구,상현동,0,20,1,매장B
1013457664,1,0,70.0,0,0,0,70대이상,32449.0,수지구,상현동,1,3,0,매장B
1013507776,1,1,79.0,0,0,0,70대이상,16272.0,수지구,상현동,1,2,0,매장B
1013658112,1,0,37.0,0,0,0,30대,129511.0,수지구,동천동,0,7,0,매장A
1013669248,1,0,45.0,1,0,0,40대,555884.0,수지구,죽전동,0,21,1,매장B
1013685952,1,0,43.0,0,0,0,40대,62697.0,수지구,상현동,0,6,1,매장B
1013791744,1,0,69.0,0,0,0,60대,89496.0,수지구,풍덕천동,1,3,1,매장C
1013851136,1,0,68.0,0,0,0,60대,26515.0,수지구,상현동,1,1,1,매장B
1013999616,1,0,47.0,0,0,0,40대,8423.0,수지구,동천동,0,2,1,매장A
1014086848,1,0,37.0,0,0,0,30대,180683.0,수지구,풍덕천동,0,10,0,매장C
1014120256,1,0,37.0,0,0,0,30대,273435.0,수지구,풍덕천동,0,15,0,매장C
1014159232,1,0,36.0,0,0,0,30대,6797.0,기타,기타,0,1,0,매장C
1014279872,1,0,54.0,0,0,0,50대,16464.0,수지구,풍덕천동,0,1,1,매장A
