회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대,구매매장,간식,건강,과실,기타,반찬,생활용품,서류,수산,양념/가루,음료,잡곡,주곡,주류,채소,축산물,주말,평일,1회당평균구매물품수
590967104,1,0,35.0,0,0,0,30대,112472.0,수지구,풍덕천동,0,2,0,매장C,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,1.0,2.5
591043200,1,0,52.0,0,0,0,50대,25653.0,수지구,신봉동,0,1,1,매장D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,1.0,5.0
591137856,1,0,40.0,0,1,0,40대,846397.0,수지구,동천동,0,52,1,매장A,0.10520778537611783,0.0005260389268805893,0.010520778537611783,0.0,0.11572856391372963,0.052603892688058915,0.0,0.03156233561283535,0.0631246712256707,0.17885323513940032,0.021041557075223566,0.04208311415044713,0.0,0.2840610205155182,0.09468700683850605,0.3076923076923077,0.6923076923076923,1.8278846153846156
591368000,1,0,54.0,1,0,0,50대,558434.0,수지구,상현동,0,19,1,매장B,0.10714285714285714,0.0,0.017857142857142856,0.0,0.19642857142857142,0.08928571428571429,0.0,0.05357142857142857,0.0,0.08928571428571429,0.0,0.0,0.0,0.25,0.19642857142857142,0.894736842105263,0.10526315789473684,2.9473684210526314
591444096,1,0,45.0,0,0,0,40대,186845.0,수지구,신봉동,0,14,1,매장D,0.38095238095238093,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.0,0.09523809523809523,0.09523809523809523,0.4285714285714285,0.5714285714285714,1.5
591466368,1,1,62.0,0,0,0,60대,99549.0,수지구,풍덕천동,1,1,1,매장C,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,1.0,4.0
591522048,1,0,45.0,0,0,0,40대,405662.0,수지구,신봉동,0,18,1,매장D,0.07894736842105263,0.0,0.02631578947368421,0.0,0.21052631578947367,0.0,0.0,0.07894736842105263,0.02631578947368421,0.05263157894736842,0.0,0.02631578947368421,0.0,0.2894736842105263,0.21052631578947367,0.2777777777777778,0.7222222222222221,2.1111111111111107
591568448,1,0,50.0,0,0,0,50대,137264.0,수지구,상현동,0,9,1,매장B,0.09090909090909091,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.13636363636363635,0.0,0.0,0.0,0.45454545454545453,0.045454545454545456,0.1111111111111111,0.8888888888888888,2.4444444444444446
591570304,1,0,53.0,0,0,0,50대,19527.0,수지구,신봉동,0,3,1,매장C,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.0,2.0
591657536,1,0,63.0,0,0,0,60대,445158.0,분당구,금곡동,1,11,1,매장C,0.13333333333333333,0.0,0.03333333333333333,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.13333333333333333,0.5,0.5454545454545454,0.4545454545454546,2.727272727272727
591828288,1,0,50.0,0,0,0,50대,37906.0,기타,기타,0,1,1,매장B,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,1.0,5.0
591909952,1,0,61.0,0,0,0,60대,21824.0,분당구,이매동,1,2,1,매장C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0
591926656,1,0,51.0,0,0,0,50대,99358.0,분당구,서현동,0,3,1,매장D,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,2.0
592071424,1,0,74.0,0,0,0,70대이상,234422.0,수지구,신봉동,1,23,0,매장D,0.10714285714285714,0.0,0.0,0.0,0.10714285714285714,0.0,0.03571428571428571,0.10714285714285714,0.10714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285,0.39285714285714285,0.2608695652173913,0.7391304347826086,1.2173913043478262
592164224,1,1,60.0,0,0,0,60대,250643.0,수지구,풍덕천동,1,20,1,매장C,0.08571428571428572,0.0,0.02857142857142857,0.0,0.3142857142857143,0.0,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.4,0.11428571428571428,0.25,0.75,1.75
592516864,1,0,40.0,0,0,0,40대,1244162.0,수지구,신봉동,0,28,1,매장D,0.17796610169491525,0.0,0.01694915254237288,0.0,0.13559322033898305,0.059322033898305086,0.0,0.09322033898305085,0.05084745762711865,0.07627118644067797,0.00847457627118644,0.0,0.0,0.1440677966101695,0.23728813559322035,0.25,0.75,4.214285714285714
592591104,1,0,39.0,1,0,0,30대,605650.0,수지구,죽전동,0,12,0,매장C,0.0,0.0,0.0,0.0,0.04878048780487805,0.14634146341463414,0.0,0.024390243902439025,0.0975609756097561,0.12195121951219512,0.0,0.04878048780487805,0.0,0.14634146341463414,0.36585365853658536,0.6666666666666667,0.3333333333333333,3.4166666666666665
592689472,1,0,42.0,0,0,0,40대,22494.0,수지구,동천동,0,1,1,매장A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,2.0
592789696,1,1,37.0,0,0,0,30대,610882.0,수지구,신봉동,0,41,0,매장D,0.3111587982832618,0.012875536480686695,0.01072961373390558,0.0,0.19313304721030042,0.01072961373390558,0.0,0.0536480686695279,0.04291845493562232,0.07510729613733905,0.0,0.0,0.0,0.2145922746781116,0.07510729613733905,0.19512195121951217,0.8048780487804879,2.2731707317073173
