회원번호,간식,건강,과실,기타,반찬,생활용품,서류,수산,양념/가루,음료,잡곡,주곡,주류,채소,축산물,sum_val
687404864,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,1.0
687640576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1.0
688080448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
688147264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
688202944,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
688258624,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0
688327296,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0
688416384,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
688464640,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.05,0.0,0.05,0.1,0.0,0.0,0.0,0.35,1.0
688525888,0.32967032967032966,0.01098901098901099,0.10989010989010989,0.0,0.10989010989010989,0.0,0.0,0.10989010989010989,0.10989010989010989,0.21978021978021978,0.0,0.0,0.0,0.0,0.0,1.0
688576000,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,1.0
688722624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
688869248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,1.0
688900800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
688989888,0.20833333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.125,0.08333333333333333,0.0,0.0,0.0,0.0,0.041666666666666664,0.375,1.0
688991744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
689093824,0.10948905109489052,0.0036496350364963502,0.0364963503649635,0.0036496350364963502,0.08394160583941605,0.058394160583941604,0.029197080291970802,0.06569343065693431,0.04744525547445255,0.05474452554744526,0.0,0.0364963503649635,0.0,0.24817518248175183,0.22262773722627738,1.0
689234880,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0
689238592,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.7631578947368421,1.0
689374080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
689541120,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.25,0.0,1.0
689650624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0
689693312,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.17647058823529413,0.4117647058823529,1.0
689748992,0.1,0.0,0.03333333333333333,0.0,0.16666666666666666,0.03333333333333333,0.0,0.16666666666666666,0.1,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.2,1.0
689767552,0.30434782608695654,0.0,0.0,0.0,0.13043478260869565,0.043478260869565216,0.0,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.34782608695652173,1.0
