,회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대,1회당평균구매물품수
3205,1465512448,1,0,34.0,0,0,0,30대,758253.0,수지구,상현동,0,43,0,1.8651162790697675
3206,1465761152,1,0,35.0,0,0,0,30대,76482.0,기타,기타,0,2,0,3.0
3207,1465798272,1,0,43.0,0,0,0,40대,38192.0,수지구,신봉동,0,1,1,3.0
3208,1466037696,1,0,77.0,0,0,0,70대이상,118178.0,수지구,상현동,1,10,0,1.7100000000000002
3209,1466403328,1,1,49.0,0,0,0,40대,566533.0,수지구,상현동,0,36,1,2.361111111111111
3210,1466429312,1,0,34.0,0,0,0,30대,606488.0,기흥구,동백동,0,31,0,2.032258064516129
3211,1466819072,1,0,40.0,0,0,0,40대,50349.0,수지구,죽전동,0,2,1,1.5
3212,1466830208,1,0,40.0,0,0,0,40대,82320.0,수지구,풍덕천동,0,7,1,2.0
3213,1466906304,1,0,43.0,0,0,0,40대,166748.0,수지구,상현동,0,20,1,1.65
3214,1466973120,1,0,41.0,0,0,0,40대,23739.0,수지구,풍덕천동,0,2,1,1.0
3215,1467025088,1,0,35.0,0,0,0,30대,51307.0,수지구,상현동,0,6,0,1.8333333333333333
3216,1467294208,1,1,42.0,0,0,0,40대,6700.0,기타,기타,0,1,1,1.0
3217,1467550336,1,1,54.0,0,0,0,50대,10625.0,수지구,풍덕천동,0,1,1,1.0
3218,1468003200,1,0,62.0,1,0,0,60대,632542.0,수지구,상현동,1,15,1,2.933333333333333
3219,1468157248,1,0,38.0,0,0,0,30대,16272.0,수지구,풍덕천동,0,2,0,1.5
3220,1468346560,1,0,40.0,0,0,0,40대,34842.0,수지구,상현동,0,3,1,2.0
3221,1468569280,1,0,58.0,0,0,0,50대,201970.0,기타,기타,0,4,1,2.75
3222,146876416,1,0,51.0,0,0,0,50대,403527.0,수지구,풍덕천동,0,10,1,2.5
3223,1468988736,1,0,37.0,0,0,0,30대,122520.0,수지구,상현동,0,14,0,1.5714285714285714
3224,1469007296,1,0,47.0,0,0,0,40대,197375.0,수지구,동천동,0,12,1,1.8333333333333333
3225,1469046272,1,0,51.0,0,0,0,50대,252320.0,수지구,신봉동,0,10,1,1.7
3226,1469256000,1,0,38.0,0,0,0,30대,178136.0,수지구,풍덕천동,0,12,0,1.9166666666666667
3227,1469359936,1,0,41.0,0,0,0,40대,48435.0,수지구,동천동,0,3,1,1.6666666666666667
3228,1469419328,1,0,36.0,0,0,0,30대,390404.0,수지구,상현동,0,24,0,2.5416666666666665
3229,1469467584,1,0,35.0,0,0,0,30대,166841.0,수지구,성복동,0,7,0,3.6571428571428575
3230,1469577088,1,0,42.0,0,0,0,40대,44797.0,수지구,풍덕천동,0,2,1,2.0
3231,1469738560,1,0,48.0,0,0,0,40대,42500.0,수원 장안구,기타,0,3,1,1.3333333333333333
3232,1469825792,1,0,65.0,0,0,0,60대,212500.0,수정구,위례(창곡)동,1,10,1,1.8
3233,1469926016,1,0,32.0,0,0,0,30대,62698.0,광주,오포읍,0,1,0,9.0
3234,1470039232,1,0,41.0,0,0,0,40대,9955.0,수지구,신봉동,0,1,1,2.0
3235,1470681408,1,0,46.0,0,0,0,40대,2680.0,분당구,판교동,0,1,1,1.0
3236,1471123136,1,0,33.0,0,0,0,30대,31301.0,수지구,풍덕천동,0,5,0,1.8
3237,1471143552,1,0,41.0,0,0,0,40대,73417.0,수지구,풍덕천동,0,5,1,1.8
3238,1471297600,1,0,28.0,0,0,0,20대이하,29481.0,수원 영통구,기타,0,1,0,3.0
3239,1471440512,1,0,63.0,0,0,0,60대,7083.0,서울 강남구,기타,1,1,1,1.0
3240,147156672,1,0,78.0,0,1,0,70대이상,42308.0,분당구,야탑동,1,5,0,1.4
3241,1471694784,1,0,44.0,0,0,0,40대,34076.0,수지구,동천동,0,2,1,1.5
3242,1471704064,1,0,61.0,0,0,0,60대,254122.0,수지구,풍덕천동,1,16,1,1.8125
3243,1471852544,1,0,36.0,0,0,0,30대,91553.0,수지구,풍덕천동,0,7,0,1.4428571428571428
3244,147210496,1,0,51.0,0,0,0,50대,300657.0,기타,기타,0,10,1,2.05
3245,1472104960,1,0,38.0,0,0,0,30대,149898.0,수지구,동천동,0,7,0,1.7142857142857142
3246,1472355520,1,0,32.0,0,1,0,30대,693405.0,수지구,신봉동,0,62,0,1.6451612903225807
3247,1473248256,1,0,34.0,0,1,0,30대,1100784.0,기흥구,보정동,0,67,0,1.8059701492537314
3248,1473472832,1,0,42.0,0,0,0,40대,98974.0,수원 영통구,기타,0,2,1,4.0
3249,147355264,1,1,55.0,0,0,0,50대,51402.0,수지구,상현동,0,2,1,2.0
3250,1473569344,1,0,35.0,1,0,0,30대,452587.0,수지구,풍덕천동,0,21,0,2.0
3251,1473651008,1,0,36.0,0,0,0,30대,171978.0,수지구,풍덕천동,0,10,0,1.3
3252,147371968,1,0,65.0,0,0,0,60대,64516.0,수지구,상현동,1,6,1,1.5
3253,1474014784,1,0,37.0,1,0,0,30대,555563.0,수지구,상현동,0,27,0,2.740740740740741
3254,1474051904,1,0,45.0,0,0,0,40대,49774.0,수지구,동천동,0,2,1,1.0
3255,147407232,1,0,57.0,0,0,0,50대,221402.0,분당구,서현동,0,8,1,3.375
3256,1474224512,1,1,37.0,0,0,0,30대,283143.0,수지구,풍덕천동,0,19,0,1.4736842105263157
3257,1474283904,1,0,36.0,0,0,0,30대,210394.0,수지구,성복동,0,7,0,2.2142857142857144
3258,1474345152,1,0,45.0,0,0,0,40대,88063.0,수지구,상현동,0,1,1,1.0
3259,1474497344,1,0,42.0,0,0,0,40대,32928.0,수지구,상현동,0,4,1,1.0
3260,1474541888,1,0,41.0,0,0,0,40대,92658.0,수지구,상현동,0,7,1,1.5714285714285714
3261,1474560448,1,0,36.0,0,0,0,30대,32163.0,분당구,서현동,0,2,0,2.0
3262,1474734912,1,0,62.0,0,0,0,60대,35798.0,수정구,기타,1,4,1,1.5
3263,1474870400,1,0,34.0,0,0,0,30대,143965.0,수지구,성복동,0,3,0,2.0
3264,1474985472,1,0,53.0,0,0,0,50대,240830.0,수지구,동천동,0,17,1,1.8235294117647058
3265,1475078272,1,0,32.0,0,0,0,30대,10147.0,기타,기타,0,1,0,2.0
3266,1475141376,1,1,59.0,0,0,0,50대,43266.0,수지구,풍덕천동,0,2,1,1.0
3267,147516736,1,0,64.0,0,0,1,60대,929737.0,수지구,상현동,1,70,1,1.647142857142857
3268,1475193344,1,0,40.0,0,0,0,40대,84425.0,수원 영통구,기타,0,5,1,1.8
3269,1475239744,1,0,39.0,0,0,0,30대,37808.0,기타,기타,0,3,0,2.6666666666666665
3270,1475700032,1,0,55.0,0,0,0,50대,8423.0,기흥구,상하동,0,1,1,1.0
3271,1475835520,1,0,48.0,0,0,0,40대,34077.0,수지구,동천동,0,3,1,2.0
3272,1476030400,1,0,36.0,0,0,0,30대,7083.0,기타,기타,0,1,0,1.0
3273,1476112064,1,0,50.0,0,0,0,50대,274625.0,수지구,동천동,0,11,1,2.272727272727273
3274,1476143616,1,0,34.0,0,0,0,30대,144730.0,수지구,풍덕천동,0,11,0,1.8181818181818181
3275,1476648448,1,0,36.0,0,0,0,30대,244566.0,수지구,상현동,0,14,0,3.0
3276,1476694848,1,0,57.0,0,0,0,50대,136115.0,수지구,성복동,0,1,1,4.0
3277,1476770944,1,0,37.0,0,0,0,30대,1107929.0,수지구,신봉동,0,44,0,3.0681818181818183
3278,1477021504,1,0,44.0,0,0,0,40대,312240.0,수지구,신봉동,0,22,1,1.5454545454545454
3279,147735744,1,0,55.0,0,0,0,50대,119939.0,수지구,성복동,0,4,1,2.5
3280,1477656256,1,1,35.0,0,0,0,30대,22782.0,기타,기타,0,1,0,3.0
3281,1477776896,1,0,30.0,0,0,0,30대,358907.0,수지구,풍덕천동,0,19,0,2.4210526315789473
3282,1478268736,1,0,53.0,1,0,0,50대,590402.0,수지구,동천동,0,17,1,2.764705882352941
3283,1478313280,1,0,41.0,0,0,0,40대,364788.0,수지구,풍덕천동,0,30,1,2.1333333333333333
3284,1478348544,1,0,42.0,0,1,0,40대,65717.0,수지구,풍덕천동,0,2,1,2.0
3285,1478489600,1,0,68.0,1,0,0,60대,775811.0,수지구,풍덕천동,1,35,1,2.657142857142857
3286,1478552704,1,0,34.0,0,0,0,30대,10912.0,수지구,동천동,0,1,0,1.0
3287,1478608384,1,1,45.0,0,0,0,40대,270796.0,수지구,신봉동,0,22,1,1.5909090909090908
3288,1478656640,1,0,58.0,0,0,0,50대,34459.0,수지구,풍덕천동,0,1,1,2.0
3289,1478812544,1,0,38.0,0,0,0,30대,32545.0,화성,기타,0,1,0,3.0
3290,1478962880,1,0,37.0,0,1,0,30대,22973.0,기흥구,보정동,0,2,0,2.0
3291,1479133632,1,0,45.0,0,0,0,40대,278836.0,수지구,풍덕천동,0,10,1,3.5
3292,1479170752,1,1,78.0,0,0,1,70대이상,2093036.0,수지구,풍덕천동,1,97,0,1.6082474226804124
3293,1479387904,1,0,34.0,0,0,0,30대,7083.0,수지구,풍덕천동,0,1,0,1.0
3294,1479527104,1,0,66.0,0,0,0,60대,13784.0,수지구,상현동,1,1,1,2.0
3295,1479566080,1,0,78.0,0,0,0,70대이상,82894.0,수지구,풍덕천동,1,3,0,1.0
3296,1479623616,1,0,59.0,0,0,0,50대,200821.0,수지구,상현동,0,10,1,1.9
3297,1479749824,1,0,31.0,0,0,0,30대,390273.0,수지구,신봉동,0,10,0,4.3
3298,1479915008,1,0,37.0,0,0,0,30대,120130.0,수지구,풍덕천동,0,9,0,1.2222222222222223
3299,1480115456,1,1,39.0,0,1,0,30대,845398.0,수지구,동천동,0,50,0,1.78
3300,1480143296,1,0,35.0,0,0,0,30대,3446.0,수지구,풍덕천동,0,1,0,1.0
3301,1480276928,1,0,49.0,0,0,0,40대,223698.0,화성,기타,0,3,1,4.666666666666667
